TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
11,0.10,0.25,1.00,0.10,0.10,0.000000050,1000,0.00,
2,0.10,0.00,1.00,0.10,0.10,0.000000050,1000,0.00,
12,0.10,0.25,1.00,0.10,0.10,0.000000050,1000,0.00,
112,0.10,0.25,0.75,0.10,0.10,0.000000050,1000,0.00,
21,0.10,0.50,1.00,0.10,0.10,0.000000050,1000,0.00,
101,0.10,0.00,0.75,0.10,0.10,0.000000050,1000,0.00,
122,0.10,0.50,0.75,0.10,0.10,0.000000050,1000,0.00,
301,0.10,0.00,0.25,0.10,0.10,0.000000050,1000,0.00,
132,0.10,0.75,0.75,0.10,0.10,0.000000050,1000,0.00,
111,0.10,0.25,0.75,0.10,0.10,0.000000050,1000,0.00,
22,0.10,0.50,1.00,0.10,0.10,0.000000050,1000,0.00,
1,0.10,0.00,1.00,0.10,0.10,0.000000050,1000,0.00,
312,0.10,0.25,0.25,0.10,0.10,0.000000050,1000,0.00,
322,0.10,0.50,0.25,0.10,0.10,0.000000050,1000,0.00,
332,0.10,0.75,0.25,0.10,0.10,0.000000050,1000,0.00,
311,0.10,0.25,0.25,0.10,0.10,0.000000050,1000,0.00,
31,0.10,0.75,1.00,0.10,0.10,0.000000050,1000,0.00,
331,0.10,0.75,0.25,0.10,0.10,0.000000050,1000,0.00,
131,0.10,0.75,0.75,0.10,0.10,0.000000050,1000,0.00,
302,0.10,0.00,0.25,0.10,0.10,0.000000050,1000,0.00,
231,0.10,0.75,0.50,0.10,0.10,0.000000050,1000,0.00,
32,0.10,0.75,1.00,0.10,0.10,0.000000050,1000,0.00,
211,0.10,0.25,0.50,0.10,0.10,0.000000050,1000,0.00,
212,0.10,0.25,0.50,0.10,0.10,0.000000050,1000,0.00,
202,0.10,0.00,0.50,0.10,0.10,0.000000050,1000,0.00,
121,0.10,0.50,0.75,0.10,0.10,0.000000050,1000,0.00,
321,0.10,0.50,0.25,0.10,0.10,0.000000050,1000,0.00,
102,0.10,0.00,0.75,0.10,0.10,0.000000050,1000,0.00,
232,0.10,0.75,0.50,0.10,0.10,0.000000050,1000,0.00,
221,0.10,0.50,0.50,0.10,0.10,0.000000050,1000,0.00,
222,0.10,0.50,0.50,0.10,0.10,0.000000050,1000,0.00,
