TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
11,12,356,64,61,1189,0,0,0,534,287,1216,155,258,258,287,0,64,0,65,0,0,60,0,52,0,119,131,740,0,0,65,222,282,12,282,1458,0,21,568,254,0,0,222,0,0,656,784,696,1398,0,0,0,237,632,246,0,65,
2,11,473,67,65,1186,0,0,0,533,292,1237,161,299,299,292,0,67,0,61,0,0,82,0,87,0,117,118,680,0,0,61,231,205,11,341,1424,0,81,554,272,0,0,180,0,0,579,737,664,1367,0,0,0,218,707,290,0,103,
21,15,474,66,62,1192,0,0,0,573,290,1174,151,297,297,290,0,66,0,65,0,0,87,0,90,0,115,127,547,0,0,65,225,228,15,261,1403,0,90,503,208,0,0,205,0,0,499,805,686,1382,0,0,0,207,750,258,0,69,
22,13,395,62,67,1198,0,0,0,562,292,1212,151,277,277,292,0,62,0,67,0,0,61,0,54,8,110,123,698,0,0,67,225,248,13,334,1426,0,48,529,283,16,0,211,0,0,581,820,692,1437,16,0,0,229,680,299,0,76,
32,11,441,64,67,1167,0,0,0,599,283,1202,155,309,309,283,0,64,0,61,0,0,64,0,40,0,125,136,717,0,0,61,222,269,11,350,1349,0,72,466,268,0,0,203,0,0,584,842,671,1444,0,0,0,237,731,299,0,93,
31,14,442,67,62,1170,0,0,0,574,292,1207,156,305,305,292,0,67,0,67,0,0,90,0,92,0,129,143,674,0,0,67,225,250,14,307,1348,0,85,478,249,0,0,223,0,0,605,848,673,1457,0,0,0,220,711,285,0,88,
41,12,433,65,68,1212,0,0,0,612,289,1228,155,304,304,289,0,65,0,66,0,0,55,0,51,5,122,132,748,0,0,66,223,229,12,309,1436,0,46,522,254,10,0,238,0,0,697,767,680,1396,10,0,0,258,741,270,0,68,
51,15,380,69,61,1122,0,0,0,571,287,1188,154,295,295,287,0,69,0,64,0,0,35,0,43,8,92,105,664,0,0,64,223,244,15,300,1313,0,46,484,253,16,0,227,0,0,591,855,679,1448,16,0,0,249,656,263,0,58,
12,12,529,68,63,1175,0,0,0,584,285,1187,151,306,317,285,0,68,0,64,0,0,121,0,128,0,108,120,646,0,0,64,221,233,12,288,1380,0,89,497,230,0,0,180,0,0,514,769,637,1362,0,0,0,228,807,227,0,116,
62,15,457,63,65,1153,0,0,0,595,290,1203,154,304,304,290,0,63,0,61,0,0,65,0,105,0,126,141,600,0,0,61,229,279,15,254,1345,0,72,483,229,0,0,202,0,0,495,813,638,1421,0,0,0,232,748,204,0,60,
