TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
22,0.10,0.40,1.00,0.10,0.10,0.000000050,1000,0.00,
222,0.10,0.40,0.60,0.10,0.10,0.000000050,1000,0.00,
11,0.10,0.20,1.00,0.10,0.10,0.000000050,1000,0.00,
31,0.10,0.60,1.00,0.10,0.10,0.000000050,1000,0.00,
312,0.10,0.20,0.40,0.10,0.10,0.000000050,1000,0.00,
34,0.10,0.60,1.00,0.10,0.10,0.000000050,1000,0.00,
111,0.10,0.20,0.80,0.10,0.10,0.000000050,1000,0.00,
131,0.10,0.60,0.80,0.10,0.10,0.000000050,1000,0.00,
12,0.10,0.20,1.00,0.10,0.10,0.000000050,1000,0.00,
221,0.10,0.40,0.60,0.10,0.10,0.000000050,1000,0.00,
102,0.10,0.00,0.80,0.10,0.10,0.000000050,1000,0.00,
232,0.10,0.60,0.60,0.10,0.10,0.000000050,1000,0.00,
3,0.10,0.00,1.00,0.10,0.10,0.000000050,1000,0.00,
211,0.10,0.20,0.60,0.10,0.10,0.000000050,1000,0.00,
201,0.10,0.00,0.60,0.10,0.10,0.000000050,1000,0.00,
323,0.10,0.40,0.40,0.10,0.10,0.000000050,1000,0.00,
314,0.10,0.20,0.40,0.10,0.10,0.000000050,1000,0.00,
