TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1581,13,475,62,62,801,0,107,0,512,446,500,152,470,455,294,0,48,0,69,8,0,410,0,38,10,110,153,316,9,0,69,225,84,13,563,650,0,380,295,269,26,119,16,71,71,100,216,372,262,10,0,0,75,532,0,0,407,
1572,18,388,64,66,743,5,76,0,389,446,508,154,387,380,292,0,46,0,67,5,0,254,0,27,10,112,154,341,0,0,67,225,105,18,495,553,0,328,261,268,21,96,11,58,58,106,349,462,407,10,0,0,52,397,21,0,324,
15121,13,595,68,62,1005,0,25,0,676,438,441,151,623,623,287,0,51,0,61,0,0,580,0,39,7,108,130,228,7,0,61,226,56,13,687,942,0,532,375,179,19,35,13,23,23,60,34,194,34,13,0,0,91,648,18,0,620,
15152,11,633,64,63,913,0,71,0,613,441,448,154,620,603,287,0,39,0,64,16,0,571,0,44,10,102,127,322,0,0,64,223,82,11,739,852,0,582,380,239,18,76,16,62,62,112,0,227,0,10,0,0,21,635,6,0,587,
15172,21,580,70,63,977,0,59,0,608,445,443,152,575,574,293,0,44,0,69,0,0,564,0,33,7,107,161,368,7,0,69,224,135,21,735,956,0,513,424,260,50,86,21,49,49,143,0,261,0,18,0,0,61,614,5,0,566,
15112,14,605,66,67,896,0,66,0,573,443,443,155,561,561,288,0,61,0,63,7,0,610,0,77,0,128,165,283,0,0,63,225,97,14,669,754,0,516,300,235,6,95,6,52,52,93,91,265,92,0,0,0,45,617,14,0,576,
15111,13,636,66,67,944,0,40,0,668,441,442,154,603,603,287,0,34,0,61,5,0,574,0,43,21,101,125,200,13,0,61,226,87,13,558,826,0,515,323,162,29,68,29,41,41,66,73,249,73,21,0,0,88,701,26,0,513,
15202,12,581,66,67,875,0,37,0,607,443,441,153,574,574,290,0,66,0,63,0,0,556,0,24,0,133,179,304,0,0,63,227,104,12,697,832,0,526,400,226,35,54,23,39,39,98,0,228,0,12,0,0,48,614,28,0,557,
15201,14,623,64,69,884,0,55,0,646,439,445,157,593,593,282,0,51,0,61,0,0,541,0,38,11,120,176,253,11,0,61,221,99,14,677,770,0,532,325,205,22,50,11,7,7,55,0,230,0,11,0,0,61,676,20,0,510,
1601,16,278,61,67,577,0,91,0,310,447,565,159,287,281,288,0,40,0,61,5,0,242,0,23,6,107,116,212,6,0,61,227,63,16,394,412,0,237,282,176,31,89,25,51,51,73,462,513,585,6,0,0,44,307,0,0,266,
1611,11,341,63,61,653,0,116,0,383,463,571,177,388,362,286,0,41,0,62,9,0,302,0,26,39,102,133,302,39,0,62,224,93,11,407,450,0,306,260,227,65,79,48,68,68,135,424,446,551,39,0,0,56,362,15,0,275,
