311,11.43522876049967
302,11.73433224226149
1,11.63446383724138
11,12.06675777626995
12,12.01852967888502
2,11.278164547781433
21,11.307681094490468
22,12.112236671254482
31,11.74433271943142
51,12.232501121120453
41,11.79941742739191
71,11.480578908647512
61,11.89990006039159
42,11.366143481290322
82,11.46471946047288
92,11.586944103132529
102,11.460485265169716
81,11.584862979166116
52,11.787778404447568
32,12.093197123659392
101,11.689784034285717
62,11.324052853508542
72,12.016251805511311
91,11.502410980798915
