TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
12,14,456,65,68,1170,0,0,0,606,289,1181,158,304,304,289,0,65,0,66,0,0,87,0,122,0,117,133,620,0,0,66,223,281,14,303,1360,0,48,493,242,0,0,174,0,0,522,774,647,1347,0,0,0,256,758,267,0,100,
1,17,390,64,65,1216,0,0,0,602,284,1208,159,304,304,284,0,64,0,62,0,0,55,0,48,0,124,141,707,0,0,62,222,213,17,345,1420,0,36,488,249,0,0,229,0,0,590,836,643,1436,0,0,0,268,688,267,0,105,
21,15,404,66,67,1136,0,0,0,567,292,1163,158,285,285,292,0,66,0,71,0,0,70,0,56,0,124,139,670,0,0,71,221,278,15,293,1332,0,51,496,250,0,0,227,0,0,613,840,731,1399,0,0,0,234,686,252,0,87,
2,15,466,64,68,1209,0,0,0,576,289,1195,155,308,308,289,0,64,0,65,0,0,70,0,63,0,118,133,790,0,0,65,224,219,15,373,1409,0,87,491,323,0,0,266,0,0,706,766,657,1363,0,0,0,221,734,326,0,96,
22,12,427,63,64,1198,0,0,0,552,285,1188,152,284,284,285,0,63,0,64,0,0,18,0,60,5,125,129,668,0,0,64,221,274,12,270,1430,0,57,520,247,10,0,215,0,0,569,726,679,1318,10,0,0,227,695,250,0,23,
11,12,402,63,63,1095,0,0,0,509,284,1173,151,276,276,284,0,63,0,62,0,0,64,0,104,4,119,121,565,0,0,62,222,264,12,256,1306,0,79,498,188,16,0,156,0,0,503,804,672,1385,8,0,0,197,635,238,0,76,
31,11,414,66,66,1123,0,0,0,587,288,1226,151,300,300,288,0,66,0,65,0,0,144,0,77,36,132,143,645,18,0,65,223,250,11,386,1296,0,67,461,237,36,0,185,0,0,546,846,656,1473,54,0,0,233,701,338,0,195,
32,14,349,71,66,1095,0,0,0,495,282,1138,153,258,258,282,0,71,0,61,0,0,96,0,78,0,126,138,670,0,0,61,221,278,14,271,1294,0,44,483,217,0,0,184,0,0,607,844,734,1384,0,0,0,214,586,223,0,103,
51,14,482,67,63,1199,0,0,0,618,290,1177,156,323,323,290,0,67,0,69,0,0,115,0,86,0,99,113,724,0,0,69,221,196,14,364,1382,0,93,482,270,0,0,238,0,0,644,808,652,1385,0,0,0,230,777,276,0,135,
42,12,325,65,62,1125,5,0,0,540,284,1179,151,279,279,284,0,65,0,62,0,0,69,0,78,0,104,116,717,0,0,62,222,279,12,313,1304,0,40,479,284,0,0,218,0,0,595,851,699,1437,0,0,0,239,586,273,0,69,
62,12,411,63,69,1130,0,0,0,580,291,1184,155,292,292,291,0,63,0,68,0,0,70,0,52,9,126,138,745,0,0,68,223,269,12,314,1335,0,59,509,270,18,0,246,0,0,653,779,699,1363,18,0,0,233,699,268,0,70,
52,11,460,64,66,1162,0,0,0,558,295,1191,156,268,268,295,0,64,0,66,0,0,77,0,58,0,130,141,615,0,0,66,229,291,11,294,1394,0,50,529,232,9,0,213,0,0,553,815,747,1406,9,0,0,218,750,255,0,93,
72,11,425,61,67,1210,0,0,0,586,286,1196,151,293,293,286,0,61,0,62,0,0,100,0,52,11,119,130,713,0,0,62,224,218,11,375,1433,0,55,511,295,22,0,244,0,0,613,763,651,1364,22,0,0,238,718,323,0,132,
41,16,394,67,68,1144,0,0,0,564,292,1211,152,294,294,292,0,67,0,70,0,0,137,0,90,0,108,124,701,0,0,70,222,298,16,317,1322,0,58,472,256,0,0,190,0,0,605,899,686,1513,0,0,0,236,664,246,0,152,
71,15,354,62,68,1104,0,0,0,505,299,1224,156,263,263,299,0,62,0,71,0,0,148,0,89,0,114,129,618,0,0,71,228,309,15,340,1289,0,45,501,251,0,0,189,0,0,518,881,734,1508,0,0,0,218,596,260,0,150,
61,19,531,63,63,1183,0,0,0,632,296,1206,151,309,309,296,0,63,0,68,0,0,66,0,103,0,116,135,645,0,0,68,228,271,19,265,1356,0,94,470,217,0,0,198,0,0,580,822,630,1432,0,0,0,215,854,227,0,81,
82,12,405,64,68,1179,0,0,0,551,296,1178,152,269,269,296,0,64,0,69,0,0,42,0,72,0,123,117,628,0,0,69,227,263,12,293,1411,0,60,532,263,0,0,181,0,0,533,787,705,1370,0,0,0,209,687,255,0,42,
81,11,413,65,71,1258,0,0,0,556,290,1221,151,294,294,290,0,65,0,64,0,0,106,0,108,13,123,124,625,0,0,64,226,213,11,286,1505,0,69,538,216,26,0,194,0,0,531,754,671,1378,26,0,0,225,675,231,0,118,
101,14,432,69,61,1117,0,0,0,611,287,1193,154,290,290,287,0,69,0,62,0,0,49,0,62,0,111,121,666,0,0,62,225,302,14,285,1271,0,54,447,254,0,0,235,0,0,594,889,687,1486,0,0,0,236,753,241,0,73,
91,13,517,61,68,1180,3,0,0,638,289,1172,153,316,316,289,0,61,0,61,0,0,60,0,82,12,129,142,764,0,0,61,228,195,13,369,1359,0,41,492,289,6,0,249,0,0,675,745,635,1318,6,0,0,275,839,289,0,109,
121,12,369,66,63,1132,0,0,0,531,286,1182,152,269,269,286,0,66,0,62,0,0,66,0,93,0,133,137,650,0,0,62,224,248,12,255,1363,0,42,530,223,0,0,215,0,0,600,814,706,1403,0,0,0,227,631,218,0,68,
102,14,473,61,69,1107,0,0,0,604,287,1178,155,297,297,287,0,61,0,61,0,0,62,0,104,4,115,129,598,0,0,61,226,264,14,251,1286,0,90,467,208,8,0,194,0,0,543,800,649,1381,8,0,0,207,780,219,0,64,
102,16,414,62,64,1121,0,0,0,532,286,1205,154,278,278,286,0,62,0,61,0,0,47,0,63,0,104,120,664,0,0,61,225,242,16,347,1339,0,46,508,254,0,0,197,0,0,587,812,702,1421,0,0,0,232,668,266,0,108,
101,13,483,63,63,1176,0,0,0,559,283,1213,151,288,288,283,0,63,0,61,0,0,105,0,100,0,105,118,541,0,0,61,222,196,13,270,1433,0,86,542,218,0,0,150,0,0,461,739,674,1358,0,0,0,202,754,220,0,108,
92,16,473,65,65,1105,0,0,0,543,295,1224,152,282,282,295,0,65,0,68,0,0,90,0,79,0,116,132,513,0,0,68,227,256,16,288,1296,0,69,497,205,0,0,170,0,0,441,902,709,1527,0,0,0,213,734,278,0,90,
122,13,464,64,65,1223,0,0,0,627,296,1220,153,328,328,296,0,64,0,67,0,0,47,0,77,0,110,123,654,0,0,67,229,207,13,265,1421,0,81,496,236,0,0,228,0,0,572,758,636,1380,0,0,0,247,763,251,0,47,
112,19,493,63,62,1136,0,0,0,591,284,1234,154,302,302,284,0,63,0,61,0,0,98,0,79,0,101,120,596,0,0,61,223,230,19,305,1328,0,76,490,224,0,0,209,0,0,518,834,651,1471,0,0,0,226,782,250,0,123,
131,14,447,62,66,1141,0,0,0,577,290,1242,154,299,299,290,0,62,0,61,0,0,79,0,66,0,112,128,705,0,0,61,229,190,14,339,1346,0,101,499,264,0,0,240,0,0,613,843,669,1485,0,0,0,198,725,277,0,105,
201,19,517,68,67,1220,0,0,0,598,288,1224,155,312,312,288,0,68,0,66,0,0,168,0,149,0,140,149,663,0,0,66,222,218,19,314,1424,0,81,495,234,0,0,167,0,0,538,811,628,1430,0,0,0,231,803,243,0,165,
182,17,433,64,62,1145,0,0,0,592,287,1201,153,306,306,287,0,64,0,64,0,0,79,0,103,0,118,135,642,0,0,64,223,241,17,310,1317,0,55,459,246,0,0,195,0,0,557,759,680,1364,0,0,0,251,719,270,0,104,
192,11,416,64,61,1147,0,0,0,609,287,1202,159,301,301,287,0,64,0,62,0,0,37,0,52,0,134,127,689,0,0,62,225,262,11,311,1312,0,64,458,269,0,0,198,0,0,606,855,675,1456,0,0,0,237,724,290,0,58,
162,16,537,63,61,1215,0,0,0,619,296,1245,157,333,333,296,0,63,0,67,0,0,113,0,106,0,114,128,758,0,0,67,229,204,16,303,1403,0,80,485,247,0,0,221,0,0,650,835,656,1476,0,0,0,253,823,240,0,112,
232,14,429,67,69,1208,0,0,0,614,286,1302,155,296,296,286,0,67,0,61,0,0,102,0,91,0,119,133,691,0,0,61,225,239,14,318,1456,0,44,538,248,0,0,223,0,0,619,823,667,1525,0,0,0,252,747,271,0,119,
222,11,424,61,62,1144,0,0,0,626,285,1214,157,297,297,285,0,61,0,62,0,0,64,0,100,0,106,115,547,0,0,62,223,231,11,290,1349,0,35,492,234,0,0,169,0,0,468,768,707,1380,0,0,0,262,753,257,0,77,
221,12,357,65,67,1148,0,0,0,516,287,1190,161,260,260,287,0,65,0,62,0,0,61,0,67,0,129,141,662,0,0,62,225,292,12,275,1381,0,40,523,236,0,0,214,0,0,594,789,718,1377,0,0,0,220,613,239,0,61,
251,20,416,61,63,1169,0,0,0,630,290,1216,155,303,303,290,0,61,0,66,0,0,134,0,116,0,120,134,708,0,0,66,224,256,20,357,1361,0,42,502,274,0,0,231,0,0,612,782,674,1402,0,0,0,261,743,259,0,163,
211,11,390,65,62,1178,0,0,0,560,289,1221,155,287,287,289,0,65,0,63,0,0,36,0,48,0,124,127,734,0,0,63,226,218,11,268,1420,0,41,533,249,0,0,248,0,0,681,817,671,1442,0,0,0,246,663,235,0,36,
241,13,385,65,65,1145,0,0,0,584,289,1247,152,307,307,289,0,65,0,61,0,0,95,0,60,0,131,128,674,0,0,61,228,233,13,340,1331,0,64,492,248,0,0,217,0,0,574,855,657,1501,0,0,0,243,662,282,0,107,
261,12,434,63,63,1214,0,0,0,648,283,1169,159,324,324,283,0,63,0,61,0,0,123,0,89,0,112,122,644,0,0,61,222,247,12,277,1400,0,26,473,204,0,0,248,0,0,576,756,611,1324,0,0,0,298,758,216,0,129,
151,12,349,63,62,1129,0,0,0,513,291,1197,152,258,258,291,0,63,0,66,0,0,65,0,43,0,114,126,625,0,0,66,225,284,12,269,1364,0,29,534,227,0,0,195,0,0,535,813,724,1415,0,0,0,229,604,231,0,83,
181,12,388,65,64,1158,0,0,0,587,284,1229,154,307,307,284,0,65,0,63,0,0,61,0,93,0,116,128,575,0,0,63,221,231,12,262,1342,0,44,468,220,0,0,217,0,0,510,808,676,1440,0,0,0,263,668,255,0,55,
161,14,392,71,75,1145,0,0,0,618,292,1183,155,307,307,292,0,71,0,65,0,0,59,0,85,0,151,155,762,0,0,65,227,233,14,322,1330,0,36,481,283,0,0,234,0,0,660,830,666,1415,0,0,0,271,703,257,0,79,
212,17,399,63,61,1108,0,0,0,560,282,1232,154,290,290,282,0,63,0,61,0,0,81,0,71,25,102,119,686,0,0,61,221,287,17,315,1279,0,61,478,251,43,0,259,0,0,619,894,630,1531,43,0,0,229,669,264,0,107,
202,12,390,62,64,1213,0,0,0,491,291,1210,157,261,261,291,0,62,0,66,0,0,69,0,103,0,107,119,530,0,0,66,225,206,12,269,1517,0,72,603,218,0,0,161,0,0,467,695,695,1305,0,0,0,189,620,234,0,77,
