TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
12,14,456,65,68,1170,0,0,0,606,289,1181,158,304,304,289,0,49,0,66,0,0,87,0,31,0,117,122,598,0,0,66,223,55,14,303,1360,0,48,478,242,0,0,152,0,0,484,774,266,1347,0,0,0,256,758,0,0,100,
1,17,390,64,65,1216,0,0,0,602,284,1208,159,304,304,284,0,59,0,62,0,0,55,0,13,0,124,137,676,0,0,62,222,46,17,327,1420,0,36,488,249,0,0,163,0,0,540,836,213,1436,0,0,0,268,688,11,0,105,
21,15,404,66,67,1136,0,0,0,567,292,1163,158,285,285,292,0,57,0,71,0,0,70,0,26,0,124,133,670,0,0,71,221,98,15,280,1332,0,51,487,243,0,0,180,0,0,521,840,276,1399,0,0,0,234,686,8,0,87,
2,15,466,64,68,1209,0,0,0,576,289,1195,155,308,308,289,0,50,0,65,0,0,70,0,22,0,118,124,790,0,0,65,224,60,15,373,1409,0,87,487,323,0,0,235,0,0,651,766,212,1363,0,0,0,221,734,19,0,90,
22,12,427,63,64,1198,0,0,0,552,285,1188,152,284,284,285,0,57,0,64,0,0,18,0,6,5,117,129,649,0,0,64,221,79,12,260,1430,0,57,514,247,10,0,169,0,0,523,726,252,1318,10,0,0,227,695,0,0,23,
11,12,402,63,63,1095,0,0,0,509,284,1173,151,272,276,284,0,51,0,62,0,0,64,0,34,4,109,121,557,0,0,62,222,59,12,256,1306,0,79,492,188,8,0,139,0,0,444,804,231,1385,8,0,0,197,635,0,0,76,
31,11,414,66,66,1123,0,0,0,587,288,1226,151,300,300,288,0,66,0,65,0,0,144,0,35,36,132,134,638,18,0,65,223,53,11,384,1296,0,67,461,237,36,0,160,0,0,502,846,233,1473,54,0,0,233,701,21,0,195,
32,14,349,71,66,1095,0,0,0,495,282,1138,153,258,258,282,0,56,0,61,0,0,96,0,19,0,118,123,662,0,0,61,221,106,14,271,1294,0,44,479,217,0,0,150,0,0,535,844,273,1384,0,0,0,214,586,0,0,103,
51,14,482,67,63,1199,0,0,0,618,290,1177,156,323,323,290,0,36,0,69,0,0,115,0,15,0,99,113,709,0,0,69,221,57,14,336,1382,0,93,473,270,0,0,202,0,0,604,808,203,1385,0,0,0,230,777,13,0,135,
42,12,325,65,62,1125,5,0,0,540,284,1179,151,279,279,284,0,42,0,62,0,0,69,0,23,0,104,112,699,0,0,62,222,76,12,313,1304,0,40,467,284,0,0,180,0,0,572,851,268,1437,0,0,0,239,586,0,0,69,
62,12,411,63,69,1130,0,0,0,580,291,1184,155,284,292,291,0,57,0,68,0,0,70,0,13,9,126,128,735,0,0,68,223,94,12,300,1335,0,59,493,270,18,0,197,0,0,603,779,257,1363,18,0,0,233,699,0,0,70,
52,11,460,64,66,1162,0,0,0,558,295,1191,156,268,268,295,0,64,0,66,0,0,77,0,25,0,130,135,588,0,0,66,229,114,11,278,1394,0,50,525,232,9,0,199,0,0,480,815,273,1406,0,0,0,218,750,0,0,93,
72,11,425,61,67,1210,0,0,0,586,286,1196,151,293,293,286,0,52,0,62,0,0,100,0,16,11,119,127,705,0,0,62,224,62,11,375,1433,0,55,507,284,22,0,214,0,0,588,763,213,1364,22,0,0,238,718,6,0,132,
41,16,394,67,68,1144,0,0,0,564,292,1211,152,294,294,292,0,40,0,70,0,0,137,0,11,0,108,116,693,0,0,70,222,85,16,317,1322,0,58,468,256,0,0,161,0,0,548,899,284,1513,0,0,0,236,664,0,0,152,
71,15,354,62,68,1104,0,0,0,505,299,1224,156,263,263,299,0,46,0,71,0,0,148,0,40,0,114,127,598,0,0,71,228,98,15,327,1289,0,45,484,245,0,0,167,0,0,482,881,306,1508,0,0,0,218,596,10,0,150,
61,19,531,63,63,1183,0,0,0,632,296,1206,151,309,309,296,0,53,0,68,0,0,66,0,15,0,116,114,645,0,0,68,228,27,19,257,1356,0,94,468,210,0,0,133,0,0,524,822,234,1432,0,0,0,215,854,0,0,81,
82,12,405,64,68,1179,0,0,0,551,296,1178,152,269,269,296,0,46,0,69,0,0,42,0,9,0,105,115,628,0,0,69,227,58,12,271,1411,0,60,524,263,0,0,168,0,0,495,787,230,1370,0,0,0,209,687,0,0,42,
81,11,413,65,71,1258,0,0,0,556,290,1221,151,294,294,290,0,47,0,64,0,0,106,0,36,13,113,119,611,0,0,64,226,48,11,271,1505,0,69,536,216,21,0,149,0,0,496,754,196,1378,26,0,0,225,675,0,0,118,
101,14,432,69,61,1117,0,0,0,611,287,1193,154,279,290,287,0,50,0,62,0,0,49,0,11,0,107,121,658,0,0,62,225,80,14,285,1271,0,54,441,250,0,0,186,0,0,532,889,301,1486,0,0,0,236,753,0,0,73,
91,13,517,61,68,1180,3,0,0,638,289,1172,153,316,316,289,0,61,0,61,0,0,60,0,21,0,129,130,733,0,0,61,228,54,13,359,1359,0,41,469,283,6,0,234,0,0,618,745,201,1318,6,0,0,275,839,7,0,109,
121,12,369,66,63,1132,0,0,0,531,286,1182,152,269,269,286,0,66,0,62,0,0,66,0,23,0,125,123,650,0,0,62,224,93,12,255,1363,0,42,513,218,0,0,167,0,0,543,814,250,1403,0,0,0,227,631,0,0,68,
102,14,473,61,69,1107,0,0,0,604,287,1178,155,297,297,287,0,46,0,61,0,0,62,0,24,4,115,107,598,0,0,61,226,35,14,242,1286,0,90,465,208,8,0,153,0,0,478,800,241,1381,8,0,0,207,780,0,0,64,
102,16,414,62,64,1121,0,0,0,532,286,1205,154,278,278,286,0,40,0,61,0,0,47,0,12,0,104,112,664,0,0,61,225,83,16,325,1339,0,46,500,254,0,0,173,0,0,540,812,233,1421,0,0,0,232,668,9,0,108,
101,13,483,63,63,1176,0,0,0,559,283,1213,151,268,288,283,0,42,0,61,0,0,105,0,20,0,105,112,541,0,0,61,222,51,13,270,1433,0,86,538,215,0,0,138,0,0,390,739,186,1358,0,0,0,202,754,0,0,108,
92,16,473,65,65,1105,0,0,0,543,295,1224,152,282,282,295,0,51,0,68,0,0,90,0,32,0,116,97,507,0,0,68,227,72,16,283,1296,0,69,483,205,0,0,133,0,0,414,902,241,1527,0,0,0,213,734,5,0,90,
122,13,464,64,65,1223,0,0,0,627,296,1220,153,328,328,296,0,45,0,67,0,0,47,0,23,0,110,114,610,0,0,67,229,62,13,255,1421,0,81,492,228,0,0,187,0,0,499,758,191,1380,0,0,0,247,763,0,0,47,
112,19,493,63,62,1136,0,0,0,591,284,1234,154,302,302,284,0,39,0,61,0,0,98,0,25,0,101,102,593,0,0,61,223,58,19,295,1328,0,76,468,224,0,0,145,0,0,479,834,228,1471,0,0,0,226,782,0,0,123,
131,14,447,62,66,1141,0,0,0,577,290,1242,154,299,299,290,0,46,0,61,0,0,79,0,30,0,112,124,689,0,0,61,229,37,14,327,1346,0,101,493,264,0,0,188,0,0,574,843,178,1485,0,0,0,198,725,0,0,105,
201,19,517,68,67,1220,0,0,0,598,288,1224,155,312,312,288,0,68,0,66,0,0,168,0,12,0,130,149,628,0,0,66,222,46,19,307,1424,0,81,489,234,0,0,143,0,0,510,811,196,1430,0,0,0,231,803,9,0,165,
182,17,433,64,62,1145,0,0,0,592,287,1201,153,306,306,287,0,56,0,64,0,0,76,0,23,0,118,126,640,0,0,64,223,66,17,310,1317,0,55,459,246,0,0,161,0,0,507,759,234,1364,0,0,0,251,719,0,0,104,
192,11,416,64,61,1147,0,0,0,609,287,1202,159,293,301,287,0,64,0,62,0,0,37,0,0,0,116,124,689,0,0,62,225,73,11,311,1312,0,64,446,269,0,0,186,0,0,548,855,251,1456,0,0,0,237,724,0,0,53,
162,16,537,63,61,1215,0,0,0,619,296,1245,157,333,333,296,0,52,0,67,0,0,113,0,13,0,112,128,739,0,0,67,229,65,16,293,1403,0,80,483,238,0,0,158,0,0,606,835,197,1476,0,0,0,253,823,0,0,112,
232,14,429,67,69,1208,0,0,0,614,286,1302,155,296,296,286,0,50,0,61,0,0,102,0,43,0,119,133,675,0,0,61,225,72,14,316,1456,0,44,533,232,0,0,184,0,0,564,823,217,1525,0,0,0,252,747,6,0,119,
222,11,424,61,62,1144,0,0,0,626,285,1214,157,297,297,285,0,43,0,62,0,0,64,0,25,0,104,110,539,0,0,62,223,105,11,276,1349,0,35,488,227,0,0,159,0,0,424,768,227,1380,0,0,0,262,753,0,0,77,
221,12,357,65,67,1148,0,0,0,516,287,1190,161,260,260,287,0,62,0,62,0,0,61,0,12,0,129,141,644,0,0,62,225,76,12,263,1381,0,40,517,236,0,0,180,0,0,526,789,262,1377,0,0,0,220,613,4,0,61,
251,20,416,61,63,1169,0,0,0,630,290,1216,155,303,303,290,0,57,0,66,0,0,134,0,37,0,114,119,700,0,0,66,224,86,20,357,1361,0,42,475,270,0,0,174,0,0,565,782,254,1402,0,0,0,261,743,10,0,163,
211,11,390,65,62,1178,0,0,0,560,289,1221,155,287,287,289,0,58,0,63,0,0,36,0,14,0,116,112,694,0,0,63,226,64,11,244,1420,0,41,529,241,0,0,227,0,0,622,817,206,1442,0,0,0,246,663,0,0,36,
241,13,385,65,65,1145,0,0,0,584,289,1247,152,307,307,289,0,58,0,61,0,0,95,0,25,0,115,113,650,0,0,61,228,61,13,320,1331,0,64,471,248,0,0,170,0,0,538,855,239,1501,0,0,0,243,662,0,0,107,
261,12,434,63,63,1214,0,0,0,648,283,1169,159,324,324,283,0,48,0,61,0,0,123,0,32,0,110,116,616,0,0,61,222,42,12,275,1400,0,26,465,200,0,0,161,0,0,504,756,226,1324,0,0,0,298,758,6,0,129,
151,12,349,63,62,1129,0,0,0,513,291,1197,152,258,258,291,0,52,0,66,0,0,65,0,13,0,114,112,617,0,0,66,225,85,12,263,1364,0,29,525,227,0,0,145,0,0,479,813,278,1415,0,0,0,229,604,0,0,83,
181,12,388,65,64,1158,0,0,0,587,284,1229,154,307,307,284,0,52,0,63,0,0,61,0,29,0,116,111,553,0,0,63,221,88,12,262,1342,0,44,468,220,0,0,177,0,0,459,808,212,1440,0,0,0,263,668,0,0,55,
161,14,392,71,75,1145,0,0,0,618,292,1183,155,307,307,292,0,71,0,65,0,0,59,0,1,0,141,155,742,0,0,65,227,72,14,312,1330,0,36,473,273,0,0,201,0,0,604,830,218,1415,0,0,0,271,703,0,0,79,
212,17,399,63,61,1108,0,0,0,560,282,1232,154,290,290,282,0,41,0,61,0,0,81,0,7,18,102,114,680,0,0,61,221,42,17,301,1279,0,61,453,251,43,0,215,0,0,578,894,283,1531,43,0,0,229,669,21,0,107,
202,12,390,62,64,1213,0,0,0,491,291,1210,157,261,261,291,0,43,0,66,0,0,69,0,43,0,107,111,520,0,0,66,225,42,12,250,1517,0,72,594,200,0,0,155,0,0,422,695,197,1305,0,0,0,189,620,8,0,77,
191,15,378,66,63,1101,0,0,0,556,282,1235,156,286,286,282,0,54,0,61,0,0,72,0,0,0,117,126,660,0,0,61,221,69,15,310,1277,0,28,456,256,0,0,181,0,0,535,856,293,1493,0,0,0,258,648,0,0,100,
242,16,407,65,67,1127,0,0,0,572,291,1218,152,293,293,291,0,61,0,67,0,0,53,0,12,0,128,131,644,0,0,67,224,68,16,273,1347,0,52,509,234,0,0,173,0,0,537,814,194,1436,0,0,0,241,686,0,0,68,
262,16,388,64,61,1180,0,0,0,581,286,1161,151,291,291,286,0,50,0,62,0,0,59,0,10,9,111,122,667,0,0,62,224,53,16,274,1411,0,63,514,222,18,0,155,0,0,573,711,217,1280,18,0,0,228,678,5,0,82,
252,11,450,65,63,1170,0,0,0,564,286,1202,153,280,287,286,0,57,0,62,0,0,82,0,19,0,116,119,671,0,0,62,224,68,11,350,1407,0,94,521,270,0,0,166,0,0,539,752,202,1360,0,0,0,193,727,0,0,147,
231,15,386,65,65,1174,0,0,0,523,287,1243,157,275,275,287,0,65,0,65,0,0,62,0,8,0,130,127,684,0,0,65,222,68,15,293,1393,0,45,506,263,0,0,174,0,0,565,876,250,1518,0,0,0,230,634,0,0,71,
282,14,421,65,67,1104,0,0,0,628,292,1128,156,309,309,292,0,57,0,67,0,0,49,0,13,9,121,135,756,0,0,67,225,69,14,248,1225,0,57,412,230,18,0,206,0,0,648,832,284,1360,18,0,0,252,740,0,0,54,
301,11,397,68,65,1172,0,0,0,585,290,1175,152,306,306,290,0,63,0,64,0,0,74,0,11,0,128,139,689,0,0,64,226,88,11,322,1360,0,50,476,264,0,0,197,0,0,544,756,206,1336,0,0,0,256,676,7,0,90,
292,11,411,62,65,1243,0,0,0,591,287,1222,157,297,297,287,0,53,0,68,0,0,44,0,9,12,109,113,560,0,0,68,219,100,11,234,1470,0,64,514,199,24,0,182,0,0,458,790,241,1411,24,0,0,233,705,0,0,51,
331,11,357,66,61,1110,0,0,0,500,284,1176,155,270,270,284,0,33,0,61,0,0,60,0,23,0,94,105,625,0,0,61,223,56,11,299,1338,0,51,511,237,0,0,186,0,0,529,818,225,1397,0,0,0,219,587,23,0,73,
321,11,491,61,66,1162,0,0,0,595,295,1154,153,324,324,295,0,40,0,69,0,0,105,0,25,0,105,116,783,0,0,69,226,41,11,355,1319,0,98,447,292,0,0,208,0,0,630,769,272,1329,0,0,0,226,762,0,0,130,
171,14,396,69,64,1129,0,0,0,548,294,1138,157,280,280,294,0,65,0,63,0,0,52,0,21,0,129,134,604,0,0,63,231,75,14,250,1326,0,54,489,204,0,0,123,0,0,451,815,241,1354,0,0,0,226,664,0,0,70,
1101,18,440,61,62,1184,0,0,0,547,290,1222,151,289,289,290,0,59,0,67,0,0,139,0,24,7,121,133,612,0,0,67,227,44,18,280,1447,0,76,552,234,7,0,145,0,0,464,716,168,1339,14,0,0,213,698,0,0,128,
132,12,412,63,64,1124,0,0,0,676,282,1175,160,326,326,282,0,32,0,61,0,0,14,0,0,0,96,105,696,0,0,61,221,46,12,282,1259,0,21,414,257,0,0,214,0,0,590,796,231,1366,0,0,0,305,755,0,0,29,
332,14,464,68,63,1165,0,0,0,534,284,1143,153,285,285,284,0,54,0,62,0,0,39,0,0,0,117,109,622,0,0,62,222,54,14,269,1384,0,95,501,252,0,0,173,0,0,491,781,225,1329,0,0,0,190,713,0,0,43,
152,13,416,61,65,1158,0,0,0,536,291,1219,151,292,292,291,0,41,0,63,0,0,66,0,18,0,106,112,632,0,0,63,228,56,13,312,1360,0,65,493,251,0,0,182,0,0,540,820,207,1445,0,0,0,227,660,4,0,78,
1102,13,456,70,64,1183,0,0,0,606,283,1178,156,309,309,283,0,66,0,61,0,0,206,0,47,0,130,143,551,0,0,61,222,34,13,366,1356,0,74,452,216,0,0,112,0,0,410,812,251,1391,0,0,0,235,753,6,0,227,
291,11,403,63,64,1128,0,0,0,599,288,1186,153,279,279,288,0,63,0,64,0,0,85,0,6,0,122,124,643,0,0,64,224,54,11,314,1359,0,38,512,247,6,0,168,0,0,555,746,220,1337,0,0,0,241,711,5,0,109,
2101,16,409,62,66,1177,0,0,0,572,289,1214,155,283,283,289,0,38,0,64,0,0,80,0,17,0,104,105,531,0,0,64,225,75,16,321,1391,0,54,494,219,0,0,139,0,0,418,851,231,1468,0,0,0,229,698,0,0,154,
322,11,338,63,63,1188,0,0,0,552,286,1229,154,271,271,286,0,43,0,64,0,0,95,0,24,0,106,108,570,0,0,64,222,58,11,317,1464,0,47,560,241,0,0,180,0,0,465,769,208,1392,0,0,0,224,619,10,0,129,
