TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
12,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
1,0.00,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
21,0.20,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
2,0.00,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
22,0.20,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
11,0.10,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
31,0.30,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
32,0.30,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
51,0.50,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
42,0.40,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
62,0.60,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
52,0.50,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
72,0.70,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
41,0.40,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
71,0.70,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
61,0.60,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
82,0.80,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
81,0.80,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
101,1.00,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
91,0.90,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
121,0.20,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
102,0.00,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
102,1.00,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
101,0.00,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
92,0.90,0.10,0.10,0.10,1.00,0.000000050,1000,0.00,
122,0.20,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
112,0.10,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
131,0.30,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
201,0.00,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
182,0.80,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
192,0.90,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
162,0.60,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
232,0.30,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
222,0.20,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
221,0.20,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
251,0.50,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
211,0.10,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
241,0.40,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
261,0.60,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
151,0.50,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
181,0.80,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
161,0.60,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
212,0.10,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
202,0.00,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
191,0.90,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
242,0.40,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
262,0.60,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
252,0.50,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
231,0.30,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
282,0.80,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
301,0.00,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
292,0.90,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
331,0.30,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
321,0.20,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
171,0.70,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
1101,1.00,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
132,0.30,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
332,0.30,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
152,0.50,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
1102,1.00,0.10,0.10,0.10,0.90,0.000000050,1000,0.00,
291,0.90,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
2101,1.00,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
322,0.20,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
281,0.80,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
272,0.70,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
2102,1.00,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
311,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
312,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
302,0.00,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
361,0.60,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
3101,1.00,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
391,0.90,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
3102,1.00,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
341,0.40,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
351,0.50,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
381,0.80,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
412,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
371,0.70,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
422,0.20,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
432,0.30,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
372,0.70,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
402,0.00,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
442,0.40,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
461,0.60,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
471,0.70,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
352,0.50,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
431,0.30,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
392,0.90,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
401,0.00,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
411,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
362,0.60,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
421,0.20,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
382,0.80,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
451,0.50,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
342,0.40,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
441,0.40,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
452,0.50,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
501,0.00,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
482,0.80,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
521,0.20,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
531,0.30,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
561,0.60,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
542,0.40,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
4102,1.00,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
472,0.70,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
522,0.20,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
532,0.30,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
492,0.90,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
562,0.60,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
552,0.50,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
481,0.80,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
462,0.60,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
502,0.00,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
491,0.90,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
512,0.10,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
4101,1.00,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
551,0.50,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
541,0.40,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
622,0.20,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
5102,1.00,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
571,0.70,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
581,0.80,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
611,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
602,0.00,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
651,0.50,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
661,0.60,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
692,0.90,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
671,0.70,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
691,0.90,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
572,0.70,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
6101,1.00,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
5101,1.00,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
582,0.80,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
702,0.00,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
632,0.30,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
612,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
681,0.80,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
711,0.10,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
591,0.90,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
712,0.10,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
732,0.30,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
741,0.40,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
731,0.30,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
742,0.40,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
641,0.40,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
672,0.70,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
601,0.00,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
631,0.30,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
652,0.50,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
6102,1.00,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
721,0.20,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
662,0.60,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
752,0.50,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
791,0.90,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
771,0.70,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
