CITY,TOT_0_4,TOT_5_17,TOT_18_59,TOT_60PL
19,0.11,0.28,0.56,0.06
6,0.11,0.28,0.56,0.06
26,0.11,0.37,0.48,0.04
43,0.104473,0.521915,0.333413,0.040199
9,0.150943396,0.358490566,0.452830189,0.037735849
52,0.150943396,0.358490566,0.452830189,0.037735849
53,0.150943396,0.358490566,0.452830189,0.037735849
